stadium_name,city,country,pitch_type,notes
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,batting,"Large ground with true bounce; high scoring, spinners later in the game."
"M. Chinnaswamy Stadium, Bengaluru",Bengaluru,India,batting,"Small boundaries, flat deck; very high scoring."
"M. A. Chidambaram Stadium, Chennai",Chennai,India,bowling,"Slow, dry surface; spin-friendly and tough to score quickly."
"Arun Jaitley Stadium, Delhi",Delhi,India,balanced,Mixed surface; can be slightly slow but allows decent scores.
"Himachal Pradesh Cricket Association Stadium, Dharamshala",Dharamshala,India,batting,High-altitude venue with good carry; encourages stroke-play.
"Barsapara Cricket Stadium (ACA Stadium), Guwahati",Guwahati,India,batting,Generally flat pitch; high-scoring T20 games.
"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,India,balanced,Traditionally slightly slow; both spin and pace relevant.
"Sawai Mansingh Stadium, Jaipur",Jaipur,India,balanced,Slowish surface; not a pure belter.
"Eden Gardens, Kolkata",Kolkata,India,batting,Modern era: true bounce & fast outfield; big scores but spin can still play a role.
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,bowling,"Low-scoring, slow; helps spinners and makes stroke-play hard."
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur (New Chandigarh)",Mullanpur,India,balanced,New venue; early signs of slightly tricky bowling-friendly surface.
"Wankhede Stadium, Mumbai",Mumbai,India,batting,"Good bounce, shortish boundaries; classic batting paradise with dew factor."
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,balanced,Balanced pitch; some help for spin later.
"Maharashtra Cricket Association Stadium, Pune",Pune,India,balanced,Reasonable bounce; both batters and pacers in the game.
"Holkar Cricket Stadium, Indore",Indore,India,batting,Very small ground and flat wicket; usually a run-fest.
"JSCA International Stadium Complex, Ranchi",Ranchi,India,bowling,Can be on the slower side; helps spinners and change of pace.
"Shaheed Veer Narayan Singh International Cricket Stadium, Raipur",Raipur,India,bowling,Generally sluggish wicket; shot-making not very easy.
"Brabourne Stadium, Mumbai",Mumbai,India,batting,True bounce and quick outfield; good batting track.
"Green Park Stadium, Kanpur",Kanpur,India,bowling,Old-style Indian pitch; slow and aids spin.
"Saurashtra Cricket Association Stadium (Niranjan Shah Stadium), Rajkot",Rajkot,India,batting,"Flat pitch, fast outfield; massive totals possible."
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India,batting,Good pace and carry; excellent for stroke makers.
"Sharjah Cricket Association Stadium, Sharjah (UAE)",Sharjah,UAE,batting,Short boundaries; high-scoring when pitch is fresh.
"Dubai International Cricket Stadium, Dubai (UAE)",Dubai,UAE,balanced,Balanced surface; can be two-paced at times.
"Sheikh Zayed Cricket Stadium, Abu Dhabi (UAE)",Abu Dhabi,UAE,balanced,Often slightly slow; both spin and pace in play.
"Kingsmead, Durban (South Africa)",Durban,South Africa,balanced,Seam and bounce; not always super high-scoring.
"New Wanderers Stadium, Johannesburg (South Africa)",Johannesburg,South Africa,batting,"High-altitude, good bounce; big totals common."
"SuperSport Park, Centurion (South Africa)",Centurion,South Africa,balanced,Good carry; bowlers and batters both have a say.
"Newlands Cricket Ground, Cape Town (South Africa)",Cape Town,South Africa,balanced,Assists seam early and spin later; moderate totals.
"Sahara Oval St George's, Port Elizabeth (South Africa)",Port Elizabeth,South Africa,bowling,Can be slow and assist spin; not a typical belter.
"Kingsmead (alt), East London (South Africa)",East London,South Africa,balanced,Average scoring venue; fair for bat and ball.
"Mangaung Oval, Bloemfontein (South Africa)",Bloemfontein,South Africa,batting,Good batting wicket; historically big ODI scores.
"Pietermaritzburg Oval, Pietermaritzburg (South Africa)",Pietermaritzburg,South Africa,balanced,Less frequently used; generally fair surface.
"Jawaharlal Nehru Stadium, Kochi",Kochi,India,balanced,Used briefly in IPL; slightly slower surfaces.
"Vidarbha Cricket Association Stadium, Nagpur",Nagpur,India,bowling,Often dry and spin-friendly; tough for aggressive hitting.
